Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AGM,Federal Agricultural Mortgage Corp,98.77,-0.51,-0.51%,99.28,97.02,43107,3/16/21
AGNC,Agnc Investment Corp,16.48,-0.04,-0.24%,16.53,16.36,4807955,3/16/21
AGO,Assured Guaranty Ltd,43.69,-0.69,-1.55%,44.73,43.6,538831,3/16/21
AGQ,Ultra Silver Proshares,46.65,-1.09,-2.28%,47.32,46.2,615307,3/16/21
AGR,Avangrid Inc,48.43,-0.4,-0.82%,48.79,48.36,503551,3/16/21
AGRO,Adecoagro S.A.,8.81,-0.15,-1.67%,9.11,8.79,1011510,3/16/21
AGRX,Agile Therap,2.07,-0.06,-2.82%,2.19,2.04,2578745,3/16/21
AGS,Playags Inc,9.34,-0.49,-4.98%,9.77,9.02,430051,3/16/21
AGTC,Applied Genetic Tech,5.76,-0.11,-1.87%,6.06,5.54,2250625,3/16/21
AGX,Argan Inc,53.05,-0.48,-0.90%,53.7,52.07,67725,3/16/21
AGYS,Agilysys Inc,57.34,-1.15,-1.97%,60.96,56.68,139393,3/16/21
AHC,A.H. Belo Corp,2.62,-0.04,-1.50%,2.9,2.5,372180,3/16/21
AHCO,Adapthealth Corp Cl. A,38.07,-0.14,-0.37%,38.87,37.08,1054594,3/16/21
AHH,Armada Hoffler Properties Inc,13.31,-0.22,-1.63%,13.7,13.22,154921,3/16/21
AHT,Ashford Hospitality Trust Inc,3.43,0.05,1.48%,3.61,3.25,10842064,3/16/21
AI,C3.Ai Inc Cl A,83,-3.77,-4.34%,88.42,82.15,3706690,3/16/21
AIA,Asia 50 Ishares ETF,94.59,0.03,0.03%,94.72,94.12,164767,3/16/21
AIG,American International Group,47.33,-1.01,-2.09%,48.01,46.88,4247399,3/16/21
AIMC,Altra Indtl Mtn,61.47,-1.58,-2.51%,63.22,59.63,329354,3/16/21
AIN,Albany International Corp,84.17,-1.23,-1.44%,85.57,82.82,160442,3/16/21
AINV,Apollo Investment Company,14.76,-0.11,-0.74%,14.94,14.41,480001,3/16/21
AIR,AAR Corp,43.25,-0.87,-1.97%,44.02,42.52,180065,3/16/21
AIRC,Apartment Income REIT Corp,44.7,-0.7,-1.54%,45.89,44.44,2065051,3/16/21
AIRG,Airgain Inc,23.14,-0.58,-2.45%,23.8,22.75,136856,3/16/21
AIT,Applied Industrial Technologies,90.56,-3.4,-3.62%,93.65,89.9,127403,3/16/21
AIV,Apartment Investment and Management,5.72,0.07,1.24%,5.86,5.64,4090151,3/16/21
AIZ,Assurant Inc,137.39,-0.77,-0.56%,137.99,136.03,473265,3/16/21
AJAX,Ajax I Cl A,10.69,-0.29,-2.64%,10.97,10.65,334725,3/16/21
AJG,Arthur J. Gallagher & Company,127.9,0.69,0.54%,128.51,126.43,819226,3/16/21
AJRD,Aerojet Rocketdyne Holdings,47.18,-0.34,-0.72%,47.52,47.04,496282,3/16/21
AJX,Great Ajax Corp,12.72,-0.22,-1.70%,12.85,12.62,75666,3/16/21
AKAM,Akamai Technologies,100.21,0.22,0.22%,101.48,99.86,1547810,3/16/21
AKBA,Akebia Therapeutics,3.48,-0.12,-3.33%,3.66,3.4,4571867,3/16/21
AKR,Acadia Realty Trust,20.54,-0.85,-3.97%,21.31,20.39,444135,3/16/21
AKRO,Akero Therapeutics Inc,31.7,-1.23,-3.74%,32.63,30.5,337399,3/16/21
AKTS,Akoustis Technologies Inc,13.41,-0.34,-2.44%,13.77,12.8,945273,3/16/21
AL,Air Lease Corp Cl A,50.3,-1.19,-2.31%,51.58,49.94,994422,3/16/21
ALB,Albemarle Corp,155.36,-3.47,-2.18%,159.93,154.31,957646,3/16/21
ALBO,Albireo Pharma Inc,36.85,-0.76,-2.02%,38.38,35.99,172237,3/16/21
ALC,Alcon Inc,69.6,0.7,1.02%,69.66,68.51,868212,3/16/21
ALDX,Aldeyra Therapeu,11.71,-0.27,-2.25%,12.26,11.43,464473,3/16/21
ALE,Allete Inc,71.47,-0.37,-0.52%,72.15,70.92,453179,3/16/21
ALEC,Alector Inc,18.41,-0.25,-1.34%,18.9,18,413584,3/16/21
ALEX,Alexander and Baldwin Inc,17.91,-0.61,-3.29%,18.56,17.75,1040870,3/16/21
ALFA,Alphaclone Alternative Alpha ETF,78.03,-1.2,-1.52%,79.44,78.03,1868,3/16/21
ALG,Alamo Group,160.02,-1.59,-0.98%,160.94,158.08,28908,3/16/21
ALGM,Allegro Microsystems Inc,26.83,-0.05,-0.19%,28.08,26.53,301249,3/16/21
ALGN,Align Technology,542.54,-16.31,-2.92%,566.65,539.11,482012,3/16/21
ALGT,Allegiant Travel Com,256.97,-11.84,-4.40%,271.29,255.52,187027,3/16/21
ALK,Alaska Air Group,70.6,-1.38,-1.92%,72.5,70.2,2044993,3/16/21
ALKS,Alkermes Plc,19.75,-0.07,-0.35%,20.09,19.53,1045158,3/16/21
ALL,Allstate Corp,115.84,-1.43,-1.22%,117.01,115.04,3758547,3/16/21
ALLE,Allegion Plc,121.33,3.2,2.71%,122.74,118.52,859828,3/16/21
ALLK,Allakos Inc,122.2,-1,-0.81%,124.18,119.16,253686,3/16/21
ALLO,Allogene Therapeutics Inc,38.17,-0.85,-2.18%,39.12,37.25,1562077,3/16/21
ALLT,Allot Communications,16.08,-0.33,-2.01%,16.49,15.74,121242,3/16/21
ALLY,Ally Financial,46.06,-0.56,-1.20%,46.67,45.57,2633092,3/16/21
ALNY,Alnylam Pharmaceuticals,143.78,-2.34,-1.60%,148.54,142.07,650660,3/16/21
ALPN,Alpine Immune Sciences Inc,13.23,-0.3,-2.22%,13.77,13.05,101401,3/16/21
ALRM,Alarm.com,88.61,-0.62,-0.69%,91.31,87.8,396470,3/16/21
ALSK,Alaska Commun Sys,3.26,0.01,0.31%,3.26,3.24,1318106,3/16/21
ALSN,Allison Transmission Holdings,42.32,-0.95,-2.20%,43.24,42.05,709533,3/16/21
ALT,Altimmune Inc,16.74,-0.99,-5.58%,17.84,16.26,960617,3/16/21
ALTG,Alta Equipment Group Inc,11.73,-0.11,-0.93%,11.83,11.64,74092,3/16/21
ALTO,Alto Ingredients Inc,5.88,0.2,3.52%,6.08,5.61,3962145,3/16/21
ALTR,Altair Engineering Inc Cl A,60.64,-1.29,-2.08%,62.11,59.29,266677,3/16/21
ALTU,Altitude Acquisition Corp Cl A,10.41,0,0.00%,10.5,10.25,1032739,3/16/21
ALV,Autoliv Inc,97.32,-1.34,-1.36%,99.05,96.61,296109,3/16/21
ALVR,Allovir Inc,28.69,-0.2,-0.69%,30.22,28.14,721180,3/16/21
ALXN,Alexion Pharm Inc,153.37,1.19,0.78%,155.67,153.07,4705622,3/16/21
ALXO,Alx Oncology Holdings Inc,78.59,1.81,2.36%,79.46,76.28,253114,3/16/21
AM,Antero Midstream Corp,8.77,-0.18,-2.01%,8.89,8.66,5536019,3/16/21
AMAT,Applied Materials,118.5,3.62,3.15%,121.27,116.92,10378489,3/16/21
AMBA,Ambarella Inc,109.91,-4.91,-4.28%,114.49,108.4,1020066,3/16/21
