Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
DLB,Dolby Laboratories,98.22,Audio & Video Products,495227,9763992000
DLGNF,Dialog Semicon Ord,77.3,Electronics - Semiconductors,1845,5934080000
DLR,Digital Realty Trust,142.91,REIT - Equity Trust Other,1995123,39382240000
DLTR,Dollar Tree Inc,114.39,Retail - Discount,2154904,25793020000
DM,Desktop Metal Inc,15.69,Machinery - Printing,4821478,4050520000
DNB,Dun & Bradstreet Holdings Inc,24.79,Business Information,2375043,10388129000
DNHBY,Dnb Nor ASA,21.3,Banks - Foreign,84292,32340616000
DNKEY,Danske Bank A/S,9.63,Banks - Foreign,12774,16519455000
DNLI,Denali Therapeutics Inc,55.25,Medical - Biomedical,571548,6604517000
DNPLY,Dai Nippon Prtg,11.18,Printing - Commercial,65057,7113837000
DNZOY,Denso Corp Ltd ADR,33.8,Auto - Truck Original Parts,26750,51767984000
DOCU,Docusign Inc,201.96,Technology Services,3971148,37024104000
DOOO,Brp Inc,82.6,Auto - Truck Original Parts,100541,6919303000
DOV,Dover Corp,139.9,Machinery - General Industrial,819409,19517078000
DOW,Dow Inc,63.99,Chemical - Diversified,4890371,46233760000
DOX,Amdocs Ltd Ord,82.16,IT Services,864507,10327534000
DPSGY,Deutsche Post Ag ADR,53.85,Transportation - Services,57355,64988644000
DPZ,Domino's Pizza Inc,371.84,Retail - Restaurants,815179,14209332000
DQ,Daqo New Energy,70.34,Chemical - Specialty,2897395,4592198000
DRE,Duke Realty Corp,42.84,REIT - Equity Trust Other,2204807,15694435000
DRI,Darden Restaurants,148.98,Retail - Restaurants,2021630,17454828000
DSCSY,Disco Corp,64.54,Machinery - Material Handling,5825,11404161000
DSDVY,Dsv A/S ADR,96.46,Transportation - Services,32556,42034800000
DSEEY,Daiwa Securities ADR,5.3,Finance - Misc Services,3299,9108667000
DSGX,Descartes Sys Group,59.61,Computer - Software,112850,5061371000
DT,Dynatrace Inc,47.33,IT Services,2296956,13575816000
DTE,Dte Energy Company,133.24,Utility - Electric Power,934782,25146736000
DTEGY,Deutsche Tele Ag Ads,19.95,Diversified Comm Services,163033,93991184000
DUFRY,Dufry Ag,6.5,Consumer Prdts - Misc Discr,1289410,5048587000
DUK,Duke Energy Corp,95.83,Utility - Electric Power,4001869,72554192000
DVA,Davita Healthcare Partners Inc,108.77,Medical - Outpatient & Hm Care,658175,11927882000
DVDCF,Davide Campari Spa,11.01,Beverages - Alcohol,1800,13183759000
DVN,Devon Energy Corp,22.74,Oil - US Exploration & Product,14008403,15037054000
DXC,Dxc Technology Company,28.39,IT Services,2348093,6708552000
DXCM,Dexcom,352.73,Medical Instruments,902085,34213044000
E,Eni S.P.A.,24.24,Oil - International Integrated,467403,43973580000
EA,Electronic Arts Inc,132.85,Toys & Game & Hobby,2553760,37333856000
EADSY,European Aeronautic,28.8702,Aerospace - Defense,261843,87815248000
EBAY,Ebay Inc,60.83,Internet Commerce,7287946,39220904000
EBKDY,Erste Group Bk ADR,17.3,Banks - Foreign,30862,14879675000
EBR,Centrais Electricas Brazil,5.91,Utility - Electric Power,985778,7831728000
EBR.B,Centrais Eletricas Brasileiras ADR,5.7,N/L,34681,8007570000
EBS,Emergent Biosolutions,94.53,Medical - Biomedical,612512,4842304000
EC,Ecopetrol S.A.,12.88,Emerging Markets Integrated,1349118,26499650000
ECIFY,Electricite DE Franc,2.58,Utility - Electric Power,34381,40812608000
ECL,Ecolab Inc,213.33,Chemical - Specialty,1145435,59635820000
ED,Consolidated Edison Company of New York,74.44,Utility - Electric Power,3213053,25143828000
EDNMY,Edenred,26.15,Technology Services,20465,13137969000
EDPFY,Energias DE Port S.A.,58.4975,Utility - Electric Power,23748,23089498000
EDU,New Oriental Education & Technology Group,14.23,Schools,17427758,26494830000
EEFT,Euronet Worldwide,140.91,Finance - Misc Services,397237,7360098000
EFX,Equifax Inc,182.5,Financial Transaction Services,717751,21241044000
EGIEY,Engie Brasil Energia S.A.,7.165,Utility - Electric Power,32197,5817581000
EGP,Eastgroup Properties,146.85,REIT - Equity Trust Other,199872,5609905000
EHC,Encompass Health Corp,83.2,Medical - Outpatient & Hm Care,714705,8158672000
EIX,Edison International,60.68,Utility - Electric Power,2517868,22733844000
EJTTF,Easyjet Plc,12.65,Transportation - Airline,2875,5022050000
EKTAY,Elekta B Shs ADR,13.11,Medical Instruments,2701,4928187000
EL,Estee Lauder Companies,292.31,Cosmetics & Toiletries,1661613,1.03E+11
ELAN,Elanco Animal Health Inc,27.85,Medical - Outpatient & Hm Care,5194586,13357690000
ELS,Equity Lifestyle Properties,64.21,REIT - Equity Trust Resident,1108032,11672669000
ELUXY,A B Electrlx S ADR,57.39,Appliances - Household,4236,9289225000
EME,Emcor Group,112.13,Building - Heavy Construction,304792,5823825000
EMN,Eastman Chemical Company,112.68,Chemical - Diversified,1067406,14776350000
EMR,Emerson Electric Company,91.57,Machinery - Electrical,3243975,52838644000
ENB,Enbridge Inc,37.08,Oil - Production & Pipeline,4626875,74580568000
ENGGY,Enagas Sa ADR,10.79,Utility - Gas Distribution,45826,5690423000
ENGIY,Gdf Suez ADR,14.37,Utility - Electric Power,606774,34581044000
ENIA,Enersis Americas S.A. American,8.52,Other Alt Energy,2030454,9445274000
ENIC,Enersis Chile S.A. ADR,3.86,Utility - Electric Power,486041,5381158000
ENLAY,Enel Societa Per Azi,9.94,Utility - Electric Power,561975,1.01E+11
ENPH,Enphase Energy Inc,152.07,Solar,3847017,19092526000
ENSG,The Ensign Group IN,96.13,Medical - Nursing Homes,325457,4940142000
ENTG,Entegris Inc,110.03,Electrical - Manufacturing,778435,13883208000
EOG,Eog Resources,74.88,Oil - US Exploration & Product,4939630,42337752000
EONGY,Eon Ag Ads,11.36,Utility - Electric Power,81977,23446940000
EPAM,Epam Systems Inc,387.74,IT Services,291417,20702524000
EPD,Enterprise Products Partners LP,23,Oil Gas Prod Pipeline MLP,7599168,48802376000
EQH,Axa Equitable Holdings Inc,31.85,Finance - Misc Services,3904614,13384298000
EQIX,Equinix Inc,683.63,REIT - Equity Trust Retail,666343,59139020000
EQNR,Equinor ASA,19.72,Other Alt Energy,3028447,65270800000
EQR,Equity Residential,72.68,REIT - Equity Trust Resident,2986677,26656582000
EQT,Eqt Corp,19.71,Oil - US Exploration & Product,5467275,4891100000
ERFSF,Eurofins Scientific,93.5,Medical Services,622,17230400000
ERIC,Ericsson ADR,13.52,Wireless Equipment,6190517,43942120000
ERIE,Erie Indemnity Company,222.87,Insurance - Brokers,85873,10451864000
ES,Eversource Energy,85.79,Utility - Electric Power,1627054,29371344000
ESALY,Eisai CO Ltd ADR,69.17,Medical - Drugs,12528,19695016000
ESGR,Enstar Group Ltd,252.94,Insurance - Multi Line,73477,5414598000
ESI,Element Solutions Inc,18.59,Chemical - Specialty,2239000,4588666000
ESLOY,Essilor Intl ADR,80.348,Medical Products,24787,69110216000
ESLT,Elbit Systems Ltd,139.65,Aerospace - Defense Equipment,31926,6116158000
ESNT,Essent Group Ltd,44.42,Finance - Mortgage & Rel Svs,1083348,4722396000
ESS,Essex Property Trust,284.33,REIT - Equity Trust Resident,475358,17957470000
